Year of Year Date,Adjusted for Inflation Notes,Adjusted for Inflation Title,Format,Metric,Year,Value (For Charting),Adjusted for Inflation Flag,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Total Value # (Billion),Total Value # (Million),Total Value For Year,Value (Actual),Year (copy)
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),1994,30.706441296," (adjusted for inflation, 2019 dollars)",1994,,$30.7M,1,$20.8B,,$20818.3B,30.706441296,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),1995,42.106238189," (adjusted for inflation, 2019 dollars)",1995,,$42.1M,1,$20.7B,,$20667.8B,42.106238189,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),1996,59.962891013," (adjusted for inflation, 2019 dollars)",1996,,$60.0M,1,$20.4B,,$20422.9B,59.962891013,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),1997,53.042854206," (adjusted for inflation, 2019 dollars)",1997,,$53.0M,1,$19.5B,,$19491.7B,53.042854206,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),1998,53.327226994," (adjusted for inflation, 2019 dollars)",1998,,$53.3M,1,$21.5B,,$21505.3B,53.327226994,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),1999,48.798875150," (adjusted for inflation, 2019 dollars)",1999,,$48.8M,1,$22.4B,,$22381.0B,48.798875150,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2000,41.124848432," (adjusted for inflation, 2019 dollars)",2000,,$41.1M,1,$21.3B,,$21265.7B,41.124848432,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2001,39.553934500," (adjusted for inflation, 2019 dollars)",2001,,$39.6M,1,$19.8B,,$19843.7B,39.553934500,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2002,29.132676487," (adjusted for inflation, 2019 dollars)",2002,,$29.1M,1,$17.9B,,$17928.4B,29.132676487,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2003,30.150852717," (adjusted for inflation, 2019 dollars)",2003,,$30.2M,1,$16.5B,,$16471.0B,30.150852717,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2004,26.120593436," (adjusted for inflation, 2019 dollars)",2004,,$26.1M,1,$16.7B,,$16707.8B,26.120593436,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2005,18.588476190," (adjusted for inflation, 2019 dollars)",2005,,$18.6M,1,$16.1B,,$16088.1B,18.588476190,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2006,19.909796131," (adjusted for inflation, 2019 dollars)",2006,,$19.9M,1,$14.9B,,$14912.7B,19.909796131,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2007,28.241897250," (adjusted for inflation, 2019 dollars)",2007,,$28.2M,1,$13.1B,,$13135.4B,28.241897250,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2008,67.327217456," (adjusted for inflation, 2019 dollars)",2008,,$67.3M,1,$10.4B,,$10421.8B,67.327217456,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2009,76.028454765," (adjusted for inflation, 2019 dollars)",2009,,$76.0M,1,$9.3B,,$9332.0B,76.028454765,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2010,104.229680908," (adjusted for inflation, 2019 dollars)",2010,,$104.2M,1,$8.2B,,$8223.2B,104.229680908,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2011,135.705439252," (adjusted for inflation, 2019 dollars)",2011,,$135.7M,1,$8.1B,,$8110.0B,135.705439252,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2012,178.967982236," (adjusted for inflation, 2019 dollars)",2012,,$179.0M,1,$7.8B,,$7812.2B,178.967982236,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2013,231.274070194," (adjusted for inflation, 2019 dollars)",2013,,$231.3M,1,$7.7B,,$7720.6B,231.274070194,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2014,263.336179145," (adjusted for inflation, 2019 dollars)",2014,,$263.3M,1,$7.2B,,$7229.8B,263.336179145,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2015,359.598162864," (adjusted for inflation, 2019 dollars)",2015,,$359.6M,1,$7.2B,,$7238.6B,359.598162864,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2016,378.607270991," (adjusted for inflation, 2019 dollars)",2016,,$378.6M,1,$8.1B,,$8072.8B,378.607270991,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2017,405.212077272," (adjusted for inflation, 2019 dollars)",2017,,$405.2M,1,$9.2B,,$9174.7B,405.212077272,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2018,426.820186646," (adjusted for inflation, 2019 dollars)",2018,,$426.8M,1,$10.0B,,$10024.6B,426.820186646,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",LP/EP,Value (Adjusted),2019,497.588920842," (adjusted for inflation, 2019 dollars)",2019,,$497.6M,1,$11.1B,,$11111.6B,497.588920842,2019
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Limited Tier Paid Subscription,Value (Adjusted),2016,280.536691286," (adjusted for inflation, 2019 dollars)",2016,,$280.5M,1,$8.1B,,$8072.8B,280.536691286,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Limited Tier Paid Subscription,Value (Adjusted),2017,617.032317981," (adjusted for inflation, 2019 dollars)",2017,,$617.0M,1,$9.2B,,$9174.7B,617.032317981,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Limited Tier Paid Subscription,Value (Adjusted),2018,760.591366006," (adjusted for inflation, 2019 dollars)",2018,,$760.6M,1,$10.0B,,$10024.6B,760.591366006,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Limited Tier Paid Subscription,Value (Adjusted),2019,829.498739675," (adjusted for inflation, 2019 dollars)",2019,,$829.5M,1,$11.1B,,$11111.6B,829.498739675,2019
1989,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1989,237.92595," (adjusted for inflation, 2019 dollars)",1989,,$237.9M,1,$13.6B,,$13566.7B,237.92595,1989
1990,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1990,337.029082632," (adjusted for inflation, 2019 dollars)",1990,,$337.0M,1,$14.8B,,$14750.8B,337.029082632,1990
1991,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1991,221.682024229," (adjusted for inflation, 2019 dollars)",1991,,$221.7M,1,$14.7B,,$14705.3B,221.682024229,1991
1992,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1992,286.816905203," (adjusted for inflation, 2019 dollars)",1992,,$286.8M,1,$16.4B,,$16443.7B,286.816905203,1992
1993,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1993,377.381578547," (adjusted for inflation, 2019 dollars)",1993,,$377.4M,1,$17.8B,,$17775.0B,377.381578547,1993
1994,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1994,398.666212551," (adjusted for inflation, 2019 dollars)",1994,,$398.7M,1,$20.8B,,$20818.3B,398.666212551,1994
1995,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1995,369.561923228," (adjusted for inflation, 2019 dollars)",1995,,$369.6M,1,$20.7B,,$20667.8B,369.561923228,1995
1996,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1996,384.707569790," (adjusted for inflation, 2019 dollars)",1996,,$384.7M,1,$20.4B,,$20422.9B,384.707569790,1996
1997,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1997,515.933347664," (adjusted for inflation, 2019 dollars)",1997,,$515.9M,1,$19.5B,,$19491.7B,515.933347664,1997
1998,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1998,796.771509202," (adjusted for inflation, 2019 dollars)",1998,,$796.8M,1,$21.5B,,$21505.3B,796.771509202,1998
1999,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),1999,578.067178271," (adjusted for inflation, 2019 dollars)",1999,,$578.1M,1,$22.4B,,$22381.0B,578.067178271,1999
2000,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2000,418.523277003," (adjusted for inflation, 2019 dollars)",2000,,$418.5M,1,$21.3B,,$21265.7B,418.523277003,2000
2001,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2001,475.224643704," (adjusted for inflation, 2019 dollars)",2001,,$475.2M,1,$19.8B,,$19843.7B,475.224643704,2001
2002,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2002,409.847019455," (adjusted for inflation, 2019 dollars)",2002,,$409.8M,1,$17.9B,,$17928.4B,409.847019455,2002
2003,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2003,555.637142935," (adjusted for inflation, 2019 dollars)",2003,,$555.6M,1,$16.5B,,$16471.0B,555.637142935,2003
2004,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2004,821.783644256," (adjusted for inflation, 2019 dollars)",2004,,$821.8M,1,$16.7B,,$16707.8B,821.783644256,2004
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2005,788.308476190," (adjusted for inflation, 2019 dollars)",2005,,$788.3M,1,$16.1B,,$16088.1B,788.308476190,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2006,572.057900298," (adjusted for inflation, 2019 dollars)",2006,,$572.1M,1,$14.9B,,$14912.7B,572.057900298,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2007,598.012924747," (adjusted for inflation, 2019 dollars)",2007,,$598.0M,1,$13.1B,,$13135.4B,598.012924747,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2008,269.902584265," (adjusted for inflation, 2019 dollars)",2008,,$269.9M,1,$10.4B,,$10421.8B,269.902584265,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2009,249.773732270," (adjusted for inflation, 2019 dollars)",2009,,$249.8M,1,$9.3B,,$9332.0B,249.773732270,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2010,208.224874344," (adjusted for inflation, 2019 dollars)",2010,,$208.2M,1,$8.2B,,$8223.2B,208.224874344,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2011,171.620781634," (adjusted for inflation, 2019 dollars)",2011,,$171.6M,1,$8.1B,,$8110.0B,171.620781634,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2012,129.851377190," (adjusted for inflation, 2019 dollars)",2012,,$129.9M,1,$7.8B,,$7812.2B,129.851377190,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2013,116.639672376," (adjusted for inflation, 2019 dollars)",2013,,$116.6M,1,$7.7B,,$7720.6B,116.639672376,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2014,96.875251056," (adjusted for inflation, 2019 dollars)",2014,,$96.9M,1,$7.2B,,$7229.8B,96.875251056,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2015,75.973614493," (adjusted for inflation, 2019 dollars)",2015,,$76.0M,1,$7.2B,,$7238.6B,75.973614493,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2016,60.634642175," (adjusted for inflation, 2019 dollars)",2016,,$60.6M,1,$8.1B,,$8072.8B,60.634642175,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2017,40.279585351," (adjusted for inflation, 2019 dollars)",2017,,$40.3M,1,$9.2B,,$9174.7B,40.279585351,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2018,28.060663877," (adjusted for inflation, 2019 dollars)",2018,,$28.1M,1,$10.0B,,$10024.6B,28.060663877,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Music Video (Physical),Value (Adjusted),2019,27.705246783," (adjusted for inflation, 2019 dollars)",2019,,$27.7M,1,$11.1B,,$11111.6B,27.705246783,2019
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2011,129.340695033," (adjusted for inflation, 2019 dollars)",2011,,$129.3M,1,$8.1B,,$8110.0B,129.340695033,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2012,190.339615647," (adjusted for inflation, 2019 dollars)",2012,,$190.3M,1,$7.8B,,$7812.2B,190.339615647,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2013,242.396097837," (adjusted for inflation, 2019 dollars)",2013,,$242.4M,1,$7.7B,,$7720.6B,242.396097837,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2014,306.475448007," (adjusted for inflation, 2019 dollars)",2014,,$306.5M,1,$7.2B,,$7229.8B,306.475448007,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2015,401.245264147," (adjusted for inflation, 2019 dollars)",2015,,$401.2M,1,$7.2B,,$7238.6B,401.245264147,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2016,521.288175026," (adjusted for inflation, 2019 dollars)",2016,,$521.3M,1,$8.1B,,$8072.8B,521.288175026,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2017,686.918081261," (adjusted for inflation, 2019 dollars)",2017,,$686.9M,1,$9.2B,,$9174.7B,686.918081261,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2018,773.294916688," (adjusted for inflation, 2019 dollars)",2018,,$773.3M,1,$10.0B,,$10024.6B,773.294916688,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",On-Demand Streaming (Ad-Supported),Value (Adjusted),2019,908.149330523," (adjusted for inflation, 2019 dollars)",2019,,$908.1M,1,$11.1B,,$11111.6B,908.149330523,2019
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Ad-Supported Streaming,Value (Adjusted),2016,86.559596683," (adjusted for inflation, 2019 dollars)",2016,,$86.6M,1,$8.1B,,$8072.8B,86.559596683,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Ad-Supported Streaming,Value (Adjusted),2017,273.040319024," (adjusted for inflation, 2019 dollars)",2017,,$273.0M,1,$9.2B,,$9174.7B,273.040319024,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Ad-Supported Streaming,Value (Adjusted),2018,255.967443871," (adjusted for inflation, 2019 dollars)",2018,,$256.0M,1,$10.0B,,$10024.6B,255.967443871,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Ad-Supported Streaming,Value (Adjusted),2019,251.064710118," (adjusted for inflation, 2019 dollars)",2019,,$251.1M,1,$11.1B,,$11111.6B,251.064710118,2019
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Digital,Value (Adjusted),2016,18.259409536," (adjusted for inflation, 2019 dollars)",2016,,$18.3M,1,$8.1B,,$8072.8B,18.259409536,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Digital,Value (Adjusted),2017,17.610951916," (adjusted for inflation, 2019 dollars)",2017,,$17.6M,1,$9.2B,,$9174.7B,17.610951916,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Digital,Value (Adjusted),2018,20.199063312," (adjusted for inflation, 2019 dollars)",2018,,$20.2M,1,$10.0B,,$10024.6B,20.199063312,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Digital,Value (Adjusted),2019,21.517175006," (adjusted for inflation, 2019 dollars)",2019,,$21.5M,1,$11.1B,,$11111.6B,21.517175006,2019
1973,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Tapes,Value (Adjusted),1973,89.825432432," (adjusted for inflation, 2019 dollars)",1973,,$89.8M,1,$11.6B,,$11611.7B,89.825432432,1973
1974,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Tapes,Value (Adjusted),1974,68.970346856," (adjusted for inflation, 2019 dollars)",1974,,$69.0M,1,$11.4B,,$11407.1B,68.970346856,1974
1975,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Tapes,Value (Adjusted),1975,48.470286245," (adjusted for inflation, 2019 dollars)",1975,,$48.5M,1,$11.4B,,$11350.1B,48.470286245,1975
1976,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Other Tapes,Value (Adjusted),1976,22.914775044," (adjusted for inflation, 2019 dollars)",1976,,$22.9M,1,$12.3B,,$12298.0B,22.914775044,1976
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2005,195.309904762," (adjusted for inflation, 2019 dollars)",2005,,$195.3M,1,$16.1B,,$16088.1B,195.309904762,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2006,261.490443452," (adjusted for inflation, 2019 dollars)",2006,,$261.5M,1,$14.9B,,$14912.7B,261.490443452,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2007,288.585325615," (adjusted for inflation, 2019 dollars)",2007,,$288.6M,1,$13.1B,,$13135.4B,288.585325615,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2008,262.896753877," (adjusted for inflation, 2019 dollars)",2008,,$262.9M,1,$10.4B,,$10421.8B,262.896753877,2008
2009,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2009,245.722059132," (adjusted for inflation, 2019 dollars)",2009,,$245.7M,1,$9.3B,,$9332.0B,245.722059132,2009
2010,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2010,249.025694317," (adjusted for inflation, 2019 dollars)",2010,,$249.0M,1,$8.2B,,$8223.2B,249.025694317,2010
2011,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2011,281.639931715," (adjusted for inflation, 2019 dollars)",2011,,$281.6M,1,$8.1B,,$8110.0B,281.639931715,2011
2012,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2012,445.276306223," (adjusted for inflation, 2019 dollars)",2012,,$445.3M,1,$7.8B,,$7812.2B,445.276306223,2012
2013,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2013,706.011657475," (adjusted for inflation, 2019 dollars)",2013,,$706.0M,1,$7.7B,,$7720.6B,706.011657475,2013
2014,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2014,831.834027499," (adjusted for inflation, 2019 dollars)",2014,,$831.8M,1,$7.2B,,$7229.8B,831.834027499,2014
2015,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2015,1247.676868955," (adjusted for inflation, 2019 dollars)",2015,$1.2B,,1,$7.2B,,$7238.6B,1247.676868955,2015
2016,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2016,2390.487544774," (adjusted for inflation, 2019 dollars)",2016,$2.4B,,1,$8.1B,,$8072.8B,2390.487544774,2016
2017,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2017,3651.028326883," (adjusted for inflation, 2019 dollars)",2017,$3.7B,,1,$9.2B,,$9174.7B,3651.028326883,2017
2018,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2018,4740.333580635," (adjusted for inflation, 2019 dollars)",2018,$4.7B,,1,$10.0B,,$10024.6B,4740.333580635,2018
2019,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Paid Subscription,Value (Adjusted),2019,5934.397625188," (adjusted for inflation, 2019 dollars)",2019,$5.9B,,1,$11.1B,,$11111.6B,5934.397625188,2019
2005,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2005,551.894476190," (adjusted for inflation, 2019 dollars)",2005,,$551.9M,1,$16.1B,,$16088.1B,551.894476190,2005
2006,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2006,981.286639881," (adjusted for inflation, 2019 dollars)",2006,,$981.3M,1,$14.9B,,$14912.7B,981.286639881,2006
2007,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2007,1302.087123010," (adjusted for inflation, 2019 dollars)",2007,$1.3B,,1,$13.1B,,$13135.4B,1302.087123010,2007
2008,Inflation adjustments based on US Bureau of Labor Statistics annual CPI.," (Adjusted for Inflation, 2019 Dollars)",Ringtones & Ringbacks,Value (Adjusted),2008,1160.236757964," (adjusted for inflation, 2019 dollars)",2008,$1.2B,,1,$10.4B,,$10421.8B,1160.236757964,2008
